,Breast,CRC,Liver,Lung,Ovarian,Pancreas,st_eso
Breast,0.652173913043478,0.0197628458498024,0.0227272727272727,0.0983606557377049,0.0943396226415094,0.0147058823529412,0.0128205128205128
CRC,0.27536231884058,0.857707509881423,0.25,0.426229508196721,0.0754716981132075,0.161764705882353,0.41025641025641
Liver,0,0.0118577075098814,0.545454545454545,0.0163934426229508,0,0,0.0384615384615385
Lung,0.0289855072463768,0.0158102766798419,0.0227272727272727,0.409836065573771,0.0377358490566038,0.0147058823529412,0.0384615384615385
Ovarian,0.0144927536231884,0,0,0.0491803278688525,0.792452830188679,0,0
Pancreas,0.0289855072463768,0.0158102766798419,0.0681818181818182,0,0,0.808823529411765,0
st_eso,0,0.0790513833992095,0.0909090909090909,0,0,0,0.5
